OTTERNO,Date,Ottername,Blood Kit#,Region,PermitType,CaptureTime,General Location,Area,Captur_Loc-N/S,Capture_Loc-E/W,Previously Captured?,Capture Team,Capture Method,Caught with pup?,Caught with others?,Palpably Pregnant?,Right Tags,R-New?,Left Tags,L- New?,R Pit Tag #,R-working?,L Pit Tag #,L-working?,Radio Tag Freq,VHF type,TDR #,Capture Comments,Sex,AgeClass,Grizzle,Nose Wound,Weight (lbs),Weight (kg),Length (cm),Girth (cm),Tail Length (cm),Right paw width (mm),Baculum length (cm),General Tooth Wear,Incisor Comments,Canine Comments,Molar Comments,Canine width (mm),Oral lesions,Age Estimate,Age Estimator,Digital Photo of Mouth,Digital Photo of Nose,Tooth Age Est,Tooth Age Est Quality,Appearance Comments,Pup UON,Pup sex,Pup Weight (kg),Pup Length (cm),Release Type,Release Loc-N/S,Release Loc-E/W
N-1368-08-S,6-Nov-08,6.209,411,BSR,TINKER/ESTES,11:13,LOPZ,LOPZ,36.034283,-121.583583,NO,WEITZMAN/HARRIS,Wilson Traps/ Divers,NO,NO,NO,WH-1/2-10,NO,BR-1/2-6543,NO,,NO,48763E6214,YES,166.209,,890348,,f,a,3,3,35.1,15.9,109.5,71,28,40.7,,Moderate,TOP INCISORS WORN,RIGHT SIDE TOP AND BOTTOM CANINES WORN,"RIGHT TOP PREMOLAR HAS ROOTS EXPOSED, LEFT TOP FIRST MOLAR HAS ROOT SLIGHTLY EXPOSED",6.3,,6,BODKIN/STAEDLER,NO,NO,,,,,,,,Boat Release,N 36?04.069,W 121?36.154
N-1369-08-S,3-Nov-08,6.309,431,BSR,TINKER/ESTES,16:50,PVAL,PVAL,35.943417,-121.484567,NO,ESSLINGER/BODKIN,Wilson Traps/ Divers,NO,NO,NO,LB-1/2-69,NO,WH-1/2-222,NO,,NO,4774320202,YES,166.309,,890349,TAGGED BY JESSICA (VISION CREW),f,a,3,3,44.1,20,114,74,27,42,,Heavy,,,"MANY BORKEN, FACTURED,  AND VERY WORN MOLARS.  2 ROOTS REMAIN ON LOWER RIGHT MOLAR",6.5,,12,STAEDLER,NO,NO,,,MISSING MOLARS - SEE TOOTH CHART,,,,,Boat Release,N 35?56.723,W 121?29.487
N-1370-08-S,3-Nov-08,6.346,414,BSR,TINKER/ESTES,,BCRK,BCRK,36.076583,-121.611033,NO,HATFIELD/KENNER,Wilson Traps/ Divers,NO,NO,NO,WH-4/5-44,NO,LB-1/2-33,NO,,NO,4A363C7473,YES,166.346,,890350,NO FALCIFORM LIGAMENT,m,a,2,1,52,23.6,121.5,75.5,29,44.7,19.5,Heavy,LOWER INCISORS WORN,BOTH TOP CANINES STAINED BROWN AND WORN,MISSING LOWER LEFT PREMOLAR,7.5,,9,STAEDLER,NO,NO,,,,,,,,Boat Release,N 36?04.069,W 121?36.154
N-1371-08-S,11-Nov-08,1092,432,BSR,TINKER/ESTES,9:24,BCRK,BCRK,36.07125,-121.61205,NO,HATFIELD/KENNER,Wilson Traps/ Divers,NO,NO,NO,BR-4/5-6527,NO,PU-4/5-47,NO,,NO,47743C6E18,YES,,,,TAGGED BY CHANCY,f,a,2,5,35.1,15.9,111.3,70.4,28,40,,Light,FRACTURED UPPER RIGHT INCISOR,FRACTURED UPPER RIGHT AND LEFT CANINES,,7.4,,8,STAEDLER,NO,NO,,,"RECENTLY WEANED A PUP.  TORN UP RIGHT PAW, 3 LITTLE TEARS",,,,,Boat Release,N 36?04.166,W 121?36.823
N-1372-08-S,6-Nov-08,6.359,409,BSR,TINKER/ESTES,8:35,LOPZ,LOPZ,36.04105,-121.586767,NO,HARRIS/WEITZMAN,Wilson Traps/ Divers,NO,NO,NO,WH-4/5-47,NO,OR-1/2-6761,NO,,NO,4A3D5A4307,YES,166.359,,890353,"RECAPTURED AND DIED ON 11/8/2008, 2 DAYS POST INITIAL CAPTURE.  SEE HARD COPIES OF CAPTURE DATA SHEET FOR MORE DETAILED INFO",m,a,3,1,64.8,29.4,129.5,81,31.8,46.5,20,Moderate,,,,8.6,,8,STAEDLER,NO,NO,,,,,,,,Boat Release,N 36?02.427,W 121?35.186
N-1373-08-S,3-Nov-09,6.37,420,BSR,TINKER/ESTES,11:10,DLCY,DLCY,36.0938,-121.623733,NO,HATFIELD/KENNER,Wilson Traps/ Divers,NO,NO,NO,WH-4/5-48,NO,RE-1/2-6030,NO,,NO,4A3B0F1510,YES,166.37,,890354,,m,a,2,1,56,25.4,126.2,80,31,24.6,16.5,Moderate,MISSING 2 TOP INCISORS,"LOWER LEFT CANINES WORN, UPPER RIGHT CANINE MISSING",,8,,8,STAEDLER,NO,NO,,,,,,,,,,
N-1374-08-S,3-Nov-08,6.397,405,BSR,TINKER/ESTES,11:07,LOPZ,LOPZ,36.011,-121.56,NO,HARRIS/WEITZMAN,Wilson Traps/ Divers,NO,YES,NO,WH-4/5-39,NO,TQ-1/2-95,NO,,NO,4A3A59056C,YES,166.397,,890355,,m,a,2,1,59,26.76,125,80.5,30,43.5,18.5,Light,,,,7.9,,6,STAEDLER,NO,NO,,,,,,,,Boat Release,N 36?00.546,W 121?33.244
N-1375-08-S,3-Nov-08,6.409,425,BSR,TINKER/ESTES,15:20,LOPZ,LOPZ,36.024833,-121.578217,NO,HATFIELD/KENNER,Wilson Traps/ Divers,NO,NO,NO,WH-4/5-223,NO,YE-1/2-6991,NO,,NO,4A2E296A3D,YES,166.409,,890356,NO FALCIFORM,m,a,,1,66.1,30,127,84,29.8,46.9,20.5,Heavy,WORN,FRACTURED LOWER LEFT CANINE,"FRACTURED UPPER LEFT MOLAR, VERY WORN UPPER RIGHT MOLAR",8.8,,9,STAEDLER,NO,NO,,,,,,,,Boat Release,N 36?01.457,W 121?34.970
N-1376-08-S,11-Nov-08,6.436,433,BSR,TINKER/ESTES,9:50,GRME,GRME,36.1953,-121.72385,NO,WEITZMAN/ESSLINGER,Wilson Traps/ Divers,NO,YES,NO,LB-1/2-74,NO,PI-4/5-7,NO,,NO,4769394368,YES,166.436,,890357,TAGGED BY TOMMY,f,a,2,1,47,21.3,116,73.2,27.9,44.3,,Very Light,,,,6.4,,5,STAEDLER,NO,NO,,,,,,,,Boat Release,N 36?11.718,W 121?43.431
N-1376-08-S,24-Sep-10,6.436,511,BSR,TINKER/ESTES,15:00,TORR,TORR,36.188183,-121.711917,YES,HARRIS/HATFIELD/TINKER,Wilson Traps/ Divers,NO,NO,NO,LB-1/2-321,YES,PI-4/5-18,YES,,NO,4769394368,YES,166.436,Thermister,EXPLANT,,f,a,4,2,47.2,21.4,118.6,68,30.4,44.8,,Moderate,MODERATE WEAR LOWER INCISORS,,REMOVED TOP RIGHT AND LEFT PREMOLARS,8.6,,6,STAEDLER,NO,NO,,,,,,,,Boat Release,N 36?10.188,W 121?41.377
N-1377-08-S,11-Nov-08,6.447,434,BSR,TINKER/ESTES,9:50,GRME,GRME,36.1953,-121.72385,NO,ESSLINGER/WEITZMAN,Wilson Traps/ Divers,NO,YES,NO,LB-1/2-91,NO,RE-1/2-175,NO,,NO,47670E393B,YES,166.447,,890358,CAUGHT W/ 1097.  TAGGED BY KATIE,f,s,1,1,31.1,14.1,104,66,27.3,43.3,,Very Light,TOP INCISORS WORN,,,5.4,,2,STAEDLER,NO,NO,,,,,,,,Boat Release,N 36?11.718,W 121?43.430
